Abnil,Orlistat,Antiobesity,"Each Abnil capsule contains 120
mg orlistat.","Abnil (Orlistat) is a lipase
inhibitor for obesity management.","Abnil is indicated: 
For obesity management including weight loss and weight maintenance when used in conjunction with a reduced-calorie diet. 
To reduce the risk for weight regain after prior weight loss. 
For obese patients with an initial body mass index   in the presence of other risk factors (eg, hypertension, diabetes, dyslipidemia).","The recommended dose of Abnil is
one capsule three times daily with each main meal containing fat (during or
up to 1 hour after the meal).",
Briax,Piroxicam Beta-Cyclodextrin,ANTIRHEUMATIC NON-STEROID,"Each Briax tablet contains 20 mg
piroxicam (as Beta-Cyclodextrin) for oral administration.","Briax contains piroxicam which
is a member of the oxicam group of nonsteroidal anti-inflammatory drugs
(NSAIDs).","Briax is indicated for the treatment of painful conditions and inflammation in rheumatic diseases (rheumatoid arthritis, osteoarthritis), musculoskeletal affections (tendinitis, bursitis, post-traumatic pain); post-operative pain & primary dysmenorrhea.","Adults

The recommended daily dose is one Briax tablet daily, preferably with or
after food.
Children

The use of Briax tablet in children is not recommended. 
The Elderly

In elderly patients, it may be necessary to reduce the dosage (half a
tablet), and limit the duration of treatment. Again, it is preferable to
take the dose with or after food.",Briax tab 20 mg is available in blister pack of 20’s.
Anafortan Plus,,,,,,,
Clozaril,Clozapine,Atypical Antipsychotics,Each Clozaril tablet contains 25 mg or 100 mg of clozapine.,Clozaril (clozapine) is an atypical antipsychotic drug.,"Treatment-resistant schizophrenia
Clozaril is indicated in adult patients with treatment-resistant schizophrenia, i.e. patients with schizophrenia who are non-responsive to or intolerant of classic antipsychotics.","The dosage must be adjusted individually. For each patient the lowest effective dose should be used. In patients with a history of seizures or suffering from renal or cardiovascular disorders (note: severe renal or cardiovascular disorders are contraindications) the initial dose should be 12.5 mg given once on the first day, and dosage increase should be slow and in small increments.
  Starting therapy:
Clozaril should be started with 12.5 mg (half a 25 mg tablet) once or twice on the first day, followed by one or two 25 mg tablets on the second day. If well tolerated, the daily dose may then be increased slowly in increments of 25 mg to 50 mg in order to achieve a dose level of up to 300 mg/day within 2 to 3 weeks. Thereafter, if required, the daily dose may be further increased in increments of 50 mg to 100 mg at half-weekly or, preferably, weekly intervals.
  Therapeutic dose range:
In most patients, antipsychotic efficacy can be expected with 200 to 450 mg/day given in divided doses. Some patients may be treated with lower doses, and some patients may require doses up to 600 mg/day. The total daily dose may be divided unevenly, with the larger portion being taken at bedtime.
  Maximum dose:
To obtain full therapeutic benefit, a few patients may require larger doses, in which case judicious increments (not exceeding 100 mg) are permissible up to 900 mg/day. The possibility of increased adverse reactions (in particular seizures) occurring at doses over 450 mg/day must be borne in mind.
  Maintenance dose:
After achieving maximum therapeutic benefit, patients can be maintained effectively on lower doses. Careful downward titration is recommended to the lowest effective dose for the individual patient. Treatment should be maintained for at least 6 months. If the daily dose does not exceed 200 mg, once daily administration in the evening may be appropriate.
  Ending therapy:
In the event of planned termination of Clozaril therapy, a gradual reduction in dose over a 1- to 2- week period is recommended.
  Re-starting therapy:
In patients in whom the interval since the last dose of Clozaril exceeds 2 days, treatment should be re-initiated with 12.5 mg (half a 25 mg tablet) given once or twice on the first day.","Clozaril Tab 25 mg & 100 mg are available in blister packs of 50’s
 "
Gluconormet,"Glimepiride, Metformin HCl",Biguanide & S-Urea Combs,"Each Gluconormet (1 mg/ 500 mg)
contains glimepiride 1 mg and metformin hydrochloride 500 mg.
Each Gluconormet (2 mg/ 500 mg)
contains glimepiride 2 mg and metformin hydrochloride 500 mg.","Gluconormet is an oral antidiabetic agent (glimepiride & metformin HCl) used in the management of type 2 diabetes.
Glimepiride:
Glimepiride (sulphonylurea class), mechanism of action appears to be
dependent on stimulating the release of insulin from functioning pancreatic
beta cells.

Metformin HCl:
Metformin improves glucose tolerance in patients with type 2 diabetes,
lowering both basal and postprandial plasma glucose.","Gluconormet is indicated in the
treatment of patients with type 2 diabetes mellitus when diet, exercise and
single agent do not result in adequate glycemic control.","Gluconormet should be given once daily with full meal preferably in the evening. Therapy should be started with Gluconormet (glimepiride 1 mg & metformin 500 mg) one tablet daily. Depending upon the glycemic control, dose may be titrated to 2 tablets once daily.
Alternatively, the therapy may be started with Gluconormet (glimepiride 2 mg & metformin hydrochloride 500 mg) one tablet daily. Depending upon the glycemic control, dose may be titrated to 2 tablets once daily. The maximum daily dose of glimepiride is 8 mg and of metformin is 2000 mg.","Gluconormet (1 mg/500 mg) tablet is available in pack of 30’s.
Gluconormet (2 mg/500 mg) tablet is available in pack of 30’s."
Urso,Ursodeoxycholic acid,Bile Stone Therapy,"Each capsule of Urso contains
250 mg or 500 mg Ursodeoxycholic acid as the active ingredient.
Each 5 ml of Urso Suspension contains 250 mg of Ursodeoxycholic acid","Urso contains Ursodeoxycholic acid that has been used successfully for oral dissolution therapy of gallstones and in the treatment of bile reflux gastritis. It also reduces
the symptoms and improves hepatic enzyme levels in patients with primary biliary cirrhosis. There are number of cholestatic diseases (primary sclerosing cholangitis, the various forms of hepatitis including overlap syndrome, cholestasis occurring in patients receiving total parenteral nutrition and in cholestatic diseases of childhood such as cystic fibrosis) in which positive effects of treatment with Urso have been published.","• For the dissolution of radiolucent cholesterol gallstones (no larger than 15 mm in diameter) in the patients with still functioning gall bladder despite the gallstones
• For the symptomatic therapy of primary biliary cirrhosis, provided there is no decompensated hepatic cirrhosis
• For the treatment of bile reflux gastritis","  Dosage for Urso capsule:
  For the dissolution of cholesterol gallstones:
The daily dosage amounts to 10 mg per kg body weight. Swallow the capsules whole with a little fluid, do not chew. Do take the capsules regularly. Gallstones generally take from 6 to 24 months to dissolve. If the gallstones have not become smaller after 12 months, do not continue treatment. The result of therapy should be mentioned by ultrasonography or X-ray every 6 months. At the follow-up examinations, a check should be made to see  whether calcification of the stones has occurred in the meantime. Should this be the case, the treatment must be ended.
  For the treatment of primary biliary cirrhosis (PBC):
The daily dosage is 10-15 mg per kg body weight daily. For the first 3 months of treatment, Urso caps should be taken divided over the day. With improvement of the liver values the daily dose may be taken once daily in the evening. The use of Urso capsule in primary biliary cirrhosis may be  continued indefinitely. In patients with primary biliary cirrhosis, in rare cases the clinical symptoms may worsen at the beginning of treatment, e.g.  the itching may increase. Should this occur, therapy should first be continued with Urso caps 250 mg daily, and the therapy gradually increased until the dose indicated in the respective dosage regimen is reached again.
  For the treatment of bile reflux gastritis: 
Urso caps 250 mg should normally be taken for 10-14 days. The attending physician will decide how long treatment should be continued.
Note: It is important for the result of treatment to take the capsules regularly. Liver function parameters should be monitored several times during treatment.
  For the symptomatic treatment of primary biliary cirrhosis:
The daily dose depends on bodyweight and is approx. 2 to 6 capsule (10 to 15 mg Ursodeoxycholic acid per kg bodyweight)
  Dosage for Urso Suspension:

There are no age restrictions on the use of Urso 250mg/5ml suspension
  For the treatment of primary biliary cirrhosis (PBC):
The usual daily dose depends on body weight, and is approximately 14 ± 2 mg Ursodeoxycholic acid per kg of body weight. One Teaspoonful (= 5 ml oral suspension) contains 250 mg of Ursodeoxycholic acid.
For the first 3 months of treatment, Urso 250 mg/5 ml suspension should be taken divided over the day. When the liver function parameters improve, the daily dose can be administered once a day in the evening.
Urso 250 mg/5 ml suspension should be taken in accordance with the dosage regimen given above. The oral suspension must be taken regularly. The use of Urso 250 mg/5 ml suspension in primary biliary cirrhosis may be continued indefinitely. In patients with primary biliary cirrhosis, in rare cases the clinical symptoms may worsen at the beginning of treatment, e.g. the itching may increase. Should this occur, therapy should first be
continued with a reduced daily dose of Urso suspension, and the dose then gradually increased (increase of the daily dose weekly) until the dose indicated in the respective dosage regimen is reached again.
  Dissolution of Gallstones: 
Approximately 10 mg of Ursodeoxycholic acid per kg of body weight daily, equivalent to:
One Teaspoonful (= 5 ml oral suspension) contains 250 mg of Ursodeoxycholic acid. Urso suspension should be taken in the evening at bedtime. The oral suspension must be taken regularly. The time required for dissolution of gallstones is likely to range from 6 to 24 months depending on stone size and composition. Follow-up cholecystograms or ultrasound investigation may be useful at 6 month intervals until the gallstones have disappeared. Treatment should be continued until 2 successive cholecystograms and/or ultrasound investigations 4-12 weeks apart have failed to demonstrate gallstones. This is because these techniques do not permit reliable visualization of stones less than 2mm in diameter. The likelihood of recurrence of gallstones after dissolution by bile acid treatment has been estimated as up to 50% at 5 years. The efficiency of Urso in treating radio-opaque or partially radio-opaque gallstones has not been tested but these are generally thought to be less soluble than radiolucent stones. Non-cholesterol stones account for 10-15% of radiolucent stones and may not be dissolved by bile acids.
  Elderly:
There is no evidenceto suggest that any alteration in the adult dose is needed but the relevant precautions should be taken into account.
Children: 
Cholesterol rich gallstones are rare in children but when they occur, dosage should be related to bodyweight.","250 mg caps 10’s,
500 mg caps 10’s,
250 mg/5 ml susp 120 ml,
 "
Kosnate-D Plus,"Ossein Mineral Complex, Magnesium Sulphate, Zinc Oxide, Vitamin K2, Vitamin D3, Vitamin C",Calcium,"Kosnate-D plus is a unique combination of Ossein Mineral Complex (Calcium), Vitamin D, Vitamin K, Vitamin C, Magnesium and Zinc.","Each Kosnate-D Plus sachet contains:
  Ossein Mineral Complex. 830 mg
Magnesium Sulphate 350 mg
Zinc Oxide 10 mg
Vitamin K2 90 mcg
Vitamin D3 800 IU
Vitamin C 50 mg","Kosnate-D Plus Sachet provides a daily dose of calcium (OMC) along with Vitamin D3 and Vitamin K for better absorption and utilization, and magnesium, zinc, and vitamin C.
  Malaise and Fatigue
Increased mineral requirements during pregnancy, lactation and growth
Support the body’s retention of bone building minerals.
Restore and maintain the bone health
Osteoporosis
Hypoparathyroidism
Bone Pain
Prophylaxis against dental caries",One Kosnate-D Plus sachet to be taken daily or as directed by the physician. Dissolve the contents of sachet in a glass of water & consume immediately.,"Kosnate-D Plus sachet is available in the pack of 15’s.
 "
Exotan,"Amlodipine , Valsartan",Angiotensin II antagonist & Calcium Channel Blocker Combination,"Exotan Tablets 5 mg / 80 mg:
Each tablet contains Amlodipine 5 mg & Valsartan 80 mg
Exotan Tablets 5 mg / 160 mg:
Each tablet contains Amlodipine 5 mg & Valsartan n 160 mg
Exotan Tablets 10 mg / 160 mg:
Each tablet contains Amlodipine 10 mg & Valsartan 160 mg",Exotan is a fixed dose combination of amlodipine (calcium channel blocker) and valsartan (an angiotensin receptor blocker).,Exotan is indicated for the treatment of hypertension.,Usually Exotan tablet is given once daily. The dosage can be increased after 1 to 2 weeks of therapy to a maximum of 10/320 mg daily as needed to control blood pressure. The majority of the antihypertensive effect is attained within 2 weeks after initiation of therapy or a change in dose. Exotan may be administered with or without food. Exotan may be administered with other antihypertensive agents.,"Exotan Tab 5 mg/80 mg is available in pack of 14’s
Exotan Tab 5 mg/160 mg is available in pack of 14’s
Exotan Tab 10 mg/160 mg is available in pack of 14’s
 "
Kefzol,Cefazolin,Cephalosporins Inject,"Kefzol (sterile cefazolin
sodium) is a semisynthetic cephalosporin antibiotic",Kefzol is first generation cephalosporin antibiotic for parenteral administration covering Gram positive cocci & Gram negative bacteria,"Cesarean section
Biliary surgery
Gastrointestinal surgery
Vaginal hysterectomy
Abdominal hysterectomy","Children:
Mild to moderate infections: 25-50 mg/kg/day divided in 3-4 equal doses.
Severe Infections: 100 mg/kg/day divided in 3-4 equal doses.
Adults:
Mild to moderate infections: 500 mg t.i.d. or 1 g b.i.d","500 mg Inj 1’s
1 gm Inj 1’s"
Ceclor,Cefaclor,,,,,,
Glyziamet,"Sitagliptin, Metformin",,,,,"The dose of GlyziaMet should be individualized on the basis of the patient’s current regimen, effectiveness, and tolerability while not exceeding the maximum recommended daily dose of 100 mg sitagliptin and 2000 mg metformin. Initial combination therapy or maintenance of combination therapy should be individualized and left to the discretion of the healthcare provider. In patients not currently treated with metformin, the recommended total daily starting dose of GlyziaMet is 100 mg sitagliptin and 1000 mg metformin hydrochloride (HCl).
Presentation:
GlyziaMet (Sitagliptin/Metformin) Tab 50/500 mg and 50/1000 mg is available in pack of 14’s.",
Glyzia,Sitagliptin,,,,,"The recommended dose of Glyzia is 100 mg once daily. Glyzia can be taken with or without food.
Presentation:
Glyzia Tab 50 mg and 100 mg is available in pack of 14’s.",
Ciafil,Tadalafil,Erectile Dysfunction Products,Each Ciafil tablet contains 5 or 20 mg of Tadalafil.,"Ciafil contains the active substance tadalafil, which belongs to a group of medicines called Phosphodiesterase Type 5 Inhibitors.","Ciafil 5 mg is used to treat adult men with urinary symptoms associated with benign prostatic hyperplasia.
Ciafil 5 mg & 20 mg are used to treat adult men with erectile dysfunction.","For the treatment of benign prostatic hyperplasia:
The dose is one 5 mg tablet taken once a day or as directed by the physician.

For the treatment of erectile dysfunction:
The dose is 5 mg taken once a day or as directed by the physician. Ciafil 20 mg is intended for use before anticipated sexual activity and is not recommended for continuous daily use. Take Ciafil tablet at least 30 minutes before sexual activity. Ciafil may still be effective up to 36 hours after taking the tablet.","Ciafil Tabs (5 mg, 20 mg) are available in packs of 4.  "
Cofif Drops,IVY leaf,Expectorants,"Each 10 ml of Cofif drop
contains:

IVY leaf Powder Extract……………..400 mg","Cofif drops contains natural
herbal extract i-e; IVY leaf powder extract 400 mg/ 10 ml, known for its
beneficial role as expectorant, cough relieving & soothing properties.","Cofif drops contain natural
herbal extract of IVY Leaf that strengthen and supports healthy lungs
functions and supports the mucous membrane. It works as an expectorant,
bronchodilator, cough relieving and mucolytic agent. It relieves chest
congestion, soothes the mucous membrane of bronchial walls & restores
breathing.","Children 6 months-1year: 
12-14 drops 3 times a day.
Children 1-5 years:
12-14 drops 3 times a day.



For children under the age of 6 months please consult your healthcare
practitioner

Duration of Treatment:
  Duration of treatment depends on the type and severity of symptoms. Treatment should last for at least one week. Treatment with Cofif drop should be maintained for 2 – 3 days after the symptoms have subsided. In the event of persistent complaints of respiratory ailments, medical advice is recommended.",20 ml bottle with dropper.
Macushield,"Lutein, Meso-Zeaxanthin, Zeaxanthin",Eye Tonics & Eye Vitamins,"Each Macushield capsule contains:
  Lutein: 10 mg
Meso-Zeaxanthin: 10 mg
Zeaxanthin: 2 mg",,,,
Algocin,Ciprofloxacin,Fluoroquinolones,Each Algocin tablet contains   (USP) equivalent to Ciprofloxacin 250 mg and 500 mg tablets.,"Algocin is a synthetic broad
spectrum antibacterial agent for oral administration. It has invitro
activity against a wide range of gram-positive and gram-negative organisms.","Urinary tract infections
Chronic bacterial prostatitis
Lower respiratory tract infections
Acute sinusitis
Skin and skin structure infections
Bone & joint infections
Complicated intra-abdominal infections (used in combination with metronidazole)
Infectious diarrhea
Typhoid & para typhoid
Uncomplicated cervical and urethral gonorrhea
Acute uncomplicated
cystitis in females
Inhalational anthrax (post-exposure)","Location of infections
Severity
Unit
Dose
Frequency
Usual
Durations
Urinary Tract
Acute uncomplicated
250 mg
q 12 h
3 days
Mild/moderate
250 mg
q 12 h
7 to 14 days
Severe/complicated
500 mg
q 12 h
7 to 14 days
Chronic Bacterial Prostatitis
Mild/moderate
500 mg
q 12 h
28 days
Lower Respiratory Tract
Mild/moderate
500 mg
q 12 h
7 to 14 days
Severe/complicated
750 mg
q 12 h
7 to 14 days
Acute Sinusitis
Mild/moderate
500 mg
q 12 h
10 days
Skin and Skin Structure
Mild/moderate
500 mg
q 12 h
7 to 14 days
Severe/complicated
750 mg
q 12 h
7 to 14 days
Bone and Joint
Mild/moderate
500 mg
q 12 h
4 to 6 weeks
Severe/complicated
750 mg
q 12 h
4 to 6 weeks
Intra-Abdominal*
Complicated
500 mg
q 12 h
7 to 14 days
Infectious Diarrhea
Mild/moderate/severe
500 mg
q 12 h
5 to 7 days
Typhoid Fever
Mild/moderate
500 mg
q 12 h
10 days
Urethral and Cervical
Gonococcal Infections
Uncomplicated
250 mg
single dose
Single dose
Inhalational anthrax
(post-exposure)
500 mg
q 12 h
60 days
* used in conjunction with
metronidazole",
Miroca,Mirogabalin,Gabapentinoid Products,"Each Miroca tablet contains Mirogabalin Besilate equivalent to 5, 10, or 15 mg of Mirogabalin.","Miroca (Mirogabalin) is an orally administered Gabapentinoid. Mirogabalin is considered to exhibit its analgesic effect by reducing calcium current via binding to the α2δ subunit, which plays an auxiliary role in the function of voltage-gated calcium channels in the nervous system. The analgesic effect of Mirogabalin is also suggested to involve activation of the noradrenergic pathway.",Miroca is used for the treatment of peripheral neuropathic pain in adults.,"For adults, administer an initial oral dose of 5 mg twice daily before meals, and then increase the dose by 5 mg per dose with an interval of at least 1 week up to 15 mg twice daily. The dose may be increased or decreased appropriately in the range between 10 mg and 15 mg twice daily, based on individual patient age or symptoms.","Miroca Tabs (5 mg, 10 mg, 15 mg) are available in a pack size of 14’s  "
Poze G,"Glimepiride, Pioglitazone HCI",Glitazone & S-Urea Combs,"Poze G Tab 30 mg/ 2 mg: 
Each tablet contains 30 mg pioglitazone hydrochloride with 2 mg
glimepiride.
Poze G Tab 30 mg/ 4 mg: 
Each tablet contains 30 mg pioglitazone hydrochloride with 4 mg
glimepiride.","Poze G tablets contain two oral antihyperglycemic agents used in the management of type 2 diabetes: pioglitazone hydrochloride and glimepiride. Pioglitazone hydrochloride acts primarily by decreasing insulin resistance. It improves sensitivity to insulin in muscle and adipose tissue and inhibits hepatic gluconeogenesis. It reduces circulating insulin levels and improves glycemic control. Glimepiride is an oral
glucose-lowering drug of the sulphonylurea class, which acts by increasing
the release of insulin from the pancreatic beta cells.","Poze G is indicated as an
adjunct to diet and exercise as a once-daily combination therapy to improve
glycemic control in patients with type 2 diabetes who are already treated
with a combination of pioglitazone and a sulfonylurea or whose diabetes is
not adequately controlled with a sulfonylurea alone, or for those patients
who have initially responded to pioglitazone alone and require additional
glycemic control.",,"Poze G 30 mg/ 2 mg is available in 14’s
Poze G 30 mg/ 4 mg is available in 14’s
 "
Poze,Pioglitazone HCl,GLITAZONE A-DIABS PLAIN,"Poze tablet 15 mg:
Each Poze tablet contains pioglitazone hydrochloride equivalent to can also be used in combina pioglitazone … 15 mg
  Poze tablet 30 mg:
Each Poze tablet contains pioglitazone hydrochloride equivalent to pioglitazone … 30 mg
  Poze tablet 45 mg:
Each Poze tablet contains pioglitazone hydrochloride equivalent to pioglitazone … 45 mg","Poze (pioglitazone
hydrochloride) is an oral antidiabetic agent that is used in the management
of type 2 diabetes. It acts primarily by decreasing insulin resistance. It
improves sensitivity to insulin in muscle and adipose tissue and inhibits
hepatic gluconeogenesis. It reduces circulating insulin levels and improves
glycemic control.","Poze is indicated for type 2 diabetes mellitus (non-insulin dependant diabetes mellitus) as an adjunct to diet control and exercise.
Poze is recommended for monotherapy. It can also be used in combination with sulfonylureas, metformin or insulin when diet and exercise plus the single antidiabetic agent do not result in glycemic control.","Poze tablets can be taken once daily with or without meals. Skipping meals, while taking Poze is not advisable since this can lead to hypoglycemia.
  Monotherapy:
Poze monotherapy is initiated at 15 mg or 30 mg once daily for those patients whose diabetes is not controlled with diet and exercise.
Dose can be increased up to 45 mg once daily for those patients who do not adequately respond to initial dose of Poze.
  Combination therapy:
Combined therapy should be considered for those patients who do not adequately respond to monotherapy with Poze.
Sulfonylureas:
Poze can be initiated with sulfonylureas at 15 mg to 30 mg once daily. If the patient experiences hypoglycemia, dose of sulfonylureas should be adjusted (decreased).
  Metformin:
Poze can be initiated with metformin at 15 mg to 30 mg once daily. The therapeutic effects of Poze are seen in combination with metformin in patients regardless of dose (low or high) of metformin which the patients are receiving.
  Insulin:
Poze can be initiated with insulin at 15 mg to 30 mg once daily. While giving Poze in combination with insulin, dose of insulin can be decreased by 10% to 25% if the patient is hypoglycemic or if plasma glucose concentrations decrease to less than 100 mg/dl. Further adjustments should be done based on glucose-lowering response. If there is a particular risk of hypoglycemia, patients on insulin should be given 15 mg of Poze once daily initially.
  Maximum recommended dose:
The maximum dose of Poze should not exceed 45 mg once daily.","Poze 15 mg is available in 14’s
Poze 30 mg is available in 14’s
Poze 45 mg is available in 14’s
 "
